"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ASIA1114,Advanced Studies in Asia and the Pacific 1,"Spring Session, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"Summer Session, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"Spring Session, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"Summer Session, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"Autumn Session, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"First Semester, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"Winter Session, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"Spring Session, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"Autumn Session, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"Second Semester, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"Summer Session, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"First Semester, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"Winter Session, 2018",Undergraduate,6,In Person
SOCR8010,Advanced Survey Data Analysis,"Winter Session, 2018",Postgraduate,6,In Person
PHYS3002,Advanced Theoretical Physics,"Second Semester, 2018",Undergraduate,6,In Person
MATH3354,Advanced Topics in Algebra,"Second Semester, 2018",Undergraduate,6,In Person
MATH6216,Advanced Topics in Algebra,"Second Semester, 2018",Postgraduate,6,In Person
ENGN8637,Advanced Topics in Communications and Signal Processing,"First Semester, 2018",Postgraduate,6,In Person
INFS8201,Advanced Topics in Information Systems Research,"First Semester, 2018",Postgraduate,6,Online
INFS4201,Advanced Topics in Information Systems Research,"First Semester, 2018",Undergraduate,6,In Person
MATH3351,Advanced Topics in Mathematical Physics,"First Semester, 2018",Undergraduate,6,In Person
ENGN8536,Advanced Topics in Mechatronics Systems,"Second Semester, 2018",Postgraduate,6,In Person
PHIL4010,Advanced Topics in Philosophy,"First Semester, 2018",Undergraduate,6,In Person
PHIL4010,Advanced Topics in Philosophy,"Second Semester, 2018",Undergraduate,6,In Person
ECON8901,"Advanced Topics in Poverty, Public Policy and Development","Second Semester, 2018",Postgraduate,6,In Person
ECON8901,"Advanced Topics in Poverty, Public Policy and Development","First Semester, 2018",Postgraduate,6,In Person
BIOL8002,Advanced Topics in Quantitative Biology and Bioinformatics,"Second Semester, 2018",Postgraduate,6,In Person
COMP4680,Advanced Topics in Statistical Machine Learning,"Second Semester, 2018",Undergraduate,6,In Person
COMP8650,Advanced Topics in Statistical Machine Learning,"Second Semester, 2018",Postgraduate,6,In Person
EMSC8018,Advanced Water and Marine Geosciences,"First Semester, 2018",Postgraduate,6,In Person
EMSC4018,Advanced Water and Marine Geosciences,"First Semester, 2018",Undergraduate,6,In Person
LAWS8321,Advanced Will Drafting,"Spring Session, 2018",Postgraduate,6,Online
BIOL3144,Advanced and Applied Immunology,"Second Semester, 2018",Undergraduate,6,In Person
BIOL6144,Advanced and Applied Immunology,"Second Semester, 2018",Postgraduate,6,In Person
BIOL6107,Advances in Medical and Plant Biochemistry,"First Semester, 2018",Postgraduate,6,In Person
BIOL3107,Advances in Medical and Plant Biochemistry,"First Semester, 2018",Undergraduate,6,In Person
BIOL3177,Advances in Molecular Plant Science,"First Semester, 2018",Undergraduate,6,In Person
