"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ENGN8535,Engineering Data Analytics,"First Semester, 2018",Postgraduate,6,In Person
ENGN6601,Engineering Materials,"First Semester, 2018",Postgraduate,6,In Person
ACST8060,Enterprise Risk Management 1,"First Semester, 2018",Postgraduate,6,In Person
INFS8004,Enterprise Systems and Strategy,"First Semester, 2018",Postgraduate,6,In Person
MGMT8015,Entrepreneurship and Innovation,"First Semester, 2018",Postgraduate,6,In Person
ARTV6921,Environment Studio: field based research and studio practice in visual arts,"First Semester, 2018",Postgraduate,6,In Person
ENVS6101,Environment and Society: Geography of Sustainability,"First Semester, 2018",Postgraduate,6,In Person
EMDV8103,Environmental Assessment,"First Semester, 2018",Postgraduate,6,In Person
IDEC8053,Environmental Economics,"First Semester, 2018",Postgraduate,6,In Person
EMDV8104,Environmental Governance,"First Semester, 2018",Postgraduate,6,In Person
ENVS6528,Environmental Policy,"First Semester, 2018",Postgraduate,6,In Person
HIST6205,"Europe and the Atlantic World, c.1492–1776.","First Semester, 2018",Postgraduate,6,In Person
POGO8500,Evidence and Analysis in Public Policy,"First Semester, 2018",Postgraduate,6,In Person
MGMT7250,Evidence-Based Management,"First Semester, 2018",Postgraduate,6,In Person
BIOL6631,Evolutionary and Behavioural Ecology,"First Semester, 2018",Postgraduate,6,In Person
CBEA8820,Exchange Program for  ANU College of Business and Economics (PG),"First Semester, 2018",Postgraduate,6,In Person
ARTS8820,Exchange Program for Graduate Arts Students,"First Semester, 2018",Postgraduate,6,In Person
LAWS8820,Exchange Program for Graduate Law Students,"First Semester, 2018",Postgraduate,6,In Person
SCNC8820,Exchange Program for Graduate Science Students,"First Semester, 2018",Postgraduate,6,In Person
COMP8820,Exchange Program for Graduate Students in Computer Science,"First Semester, 2018",Postgraduate,6,In Person
HIST6235,Exploration: Columbus to the Moon,"First Semester, 2018",Postgraduate,6,In Person
DESN8003,Extended Design Inquiry: Application of Research,"First Semester, 2018",Postgraduate,18,In Person
ESEN6101,Extended University English,"First Semester, 2018",Postgraduate,6,In Person
LAWS8580,Family Law (Property),"First Semester, 2018",Postgraduate,6,Online
LAWS8143,Federal Litigation,"First Semester, 2018",Postgraduate,6,Online
PHYS6501,Fibre Optic Communication Systems,"First Semester, 2018",Postgraduate,6,In Person
ENGN6513,Fibre Optics Communication Systems,"First Semester, 2018",Postgraduate,6,In Person
BIOL6010,Field Studies in Behavioural Ecology,"First Semester, 2018",Postgraduate,6,In Person
SCOM8004A,Fieldwork Placement (Part A),"First Semester, 2018",Postgraduate,12,In Person
STAT6046,Financial Mathematics,"First Semester, 2018",Postgraduate,6,In Person
BUSN7036,Financial Statement Analysis,"First Semester, 2018",Postgraduate,6,In Person
BUSN7008,Financial Statements and Reporting,"First Semester, 2018",Postgraduate,6,In Person
ENGN6224,Fluid Mechanics and Heat Transfer,"First Semester, 2018",Postgraduate,6,In Person
ENVS8105,Forestry Research Essay,"First Semester, 2018",Postgraduate,6,In Person
POGO8401,Foundations in Public Policy,"First Semester, 2018",Postgraduate,6,In Person
LAWS6101,Foundations of Australian Law,"First Semester, 2018",Postgraduate,6,In Person
DESN6002,Foundations of Creative Code,"First Semester, 2018",Postgraduate,6,In Person
LAWS8581,Foundations of Family Law and Practice,"First Semester, 2018",Postgraduate,6,Online
MATH6203,Foundations of Mathematics,"First Semester, 2018",Postgraduate,6,In Person
NSPO8011,Foundations of National Security,"First Semester, 2018",Postgraduate,6,In Person
MATH6116,Fractal Geometry and Chaotic Dynamics,"First Semester, 2018",Postgraduate,6,In Person
ARCH8103,Frameworks for Archaeological Science,"First Semester, 2018",Postgraduate,6,In Person
ASTR6007,From Stars to Galaxies,"First Semester, 2018",Postgraduate,6,In Person
LAWS8651,Fundamentals of Australian Migration Law,"First Semester, 2018",Postgraduate,6,Online
EMET8014,Fundamentals of Econometric Methods,"First Semester, 2018",Postgraduate,6,In Person
POPH8100,Fundamentals of Epidemiology,"First Semester, 2018",Postgraduate,6,In Person
